mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__coef0,param_svc__degree,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07553262710571289,0.005535971150912833,0.012214565277099609,0.0014341503480044008,0.1,0.5,2,scale,linear,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.11731696128845215,0.007575473742083537,0.055579423904418945,0.00631261304204768,0.1,0.5,2,scale,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
0.08944406509399414,0.009329404465693086,0.020487070083618164,0.002034598427241284,0.1,0.5,2,scale,poly,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9601990049751243,0.9577114427860697,0.9589552238805971,0.9577114427860697,0.9577114427860697,0.958457711442786,0.0009950248756218692,111
0.15721116065979004,0.008622767941940506,0.04076361656188965,0.004999497317982357,0.1,0.5,2,scale,sigmoid,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.9353233830845771,0.9402985074626866,0.9415422885572139,0.9365671641791045,0.9291044776119403,0.9365671641791045,0.00437980518946743,167
0.07788238525390626,0.008839743771642232,0.011901092529296876,0.00022416019966948927,0.1,0.5,2,auto,linear,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.13462257385253906,0.019858143813681742,0.05003514289855957,0.0019202567849024193,0.1,0.5,2,auto,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
0.09078636169433593,0.01962396854272628,0.018567228317260744,0.0005449634302104776,0.1,0.5,2,auto,poly,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.9601990049751243,0.9577114427860697,0.9589552238805971,0.9577114427860697,0.9577114427860697,0.958457711442786,0.0009950248756218692,111
0.13801989555358887,0.0028364084722466497,0.03258671760559082,0.0013206377857482422,0.1,0.5,2,auto,sigmoid,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.9353233830845771,0.9402985074626866,0.9415422885572139,0.9365671641791045,0.9291044776119403,0.9365671641791045,0.00437980518946743,167
0.06837916374206543,0.004007327843126732,0.012816715240478515,0.0005595318721780407,0.1,0.5,3,scale,linear,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.12377362251281739,0.008786188379158087,0.052046346664428714,0.003964057671538211,0.1,0.5,3,scale,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
0.0888338565826416,0.009483994564419429,0.017757606506347657,0.0013041541728859313,0.1,0.5,3,scale,poly,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9577114427860697,0.9564676616915423,0.9601990049751243,0.9589552238805971,0.9651741293532339,0.9597014925373134,0.0030057328292523904,105
0.1523728370666504,0.008479619061008943,0.03312845230102539,0.0016466186522379655,0.1,0.5,3,scale,sigmoid,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.9353233830845771,0.9402985074626866,0.9415422885572139,0.9365671641791045,0.9291044776119403,0.9365671641791045,0.00437980518946743,167
0.07664222717285156,0.006956108077306324,0.013890933990478516,0.0016751688926116544,0.1,0.5,3,auto,linear,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.12681970596313477,0.002090196842745276,0.05233774185180664,0.0017572230938900008,0.1,0.5,3,auto,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
0.08569173812866211,0.005306179041006786,0.019142913818359374,0.0020022147402682096,0.1,0.5,3,auto,poly,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.9577114427860697,0.9564676616915423,0.9601990049751243,0.9589552238805971,0.9651741293532339,0.9597014925373134,0.0030057328292523904,105
0.1402987003326416,0.004428245548961919,0.033020973205566406,0.0021188928226127815,0.1,0.5,3,auto,sigmoid,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.9353233830845771,0.9402985074626866,0.9415422885572139,0.9365671641791045,0.9291044776119403,0.9365671641791045,0.00437980518946743,167
0.06633310317993164,0.001160760272154404,0.012165212631225586,0.00032543074412374177,0.1,0.5,4,scale,linear,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 4, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9626865671641791,0.9664179104477612,0.9651741293532339,0.9552238805970149,0.9651741293532339,0.9629353233830846,0.00404181015156019,23
0.12080578804016114,0.0071137203471233436,0.06137657165527344,0.006723113963455307,0.1,0.5,4,scale,rbf,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 4, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9365671641791045,0.9390547263681592,0.945273631840796,0.9415422885572139,0.9402985074626866,0.940547263681592,0.002879561418604541,147
0.10742268562316895,0.014299744261193811,0.028247261047363283,0.010239590583943987,0.1,0.5,4,scale,poly,"{'svc__C': 0.1, 'svc__coef0': 0.5, 'svc__degree': 4, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.9601990049751243,0.9539800995024875,0.9577114427860697,0.9589552238805971,0.9664179104477612,0.959452736318408,0.0040570911518159345,109
